game1,game2,game3,game4,fps1,fps2,fps3,fps4
1,2,7,40,24,84,43,54
1,2,45,,57,112,40,
1,5,22,82,20,39,44,39
1,5,97,,92,217,45,
1,6,21,34,62,55,66,47
1,10,64,72,79,42,44,50
1,13,64,84,61,55,36,53
1,17,21,47,60,93,52,48
1,20,53,61,66,70,46,51
1,20,66,,81,111,40,
1,21,43,,66,74,93,
1,21,53,80,64,67,42,82
1,21,74,98,50,61,55,42
1,21,,,130,100,,
1,25,,,238,60,,
1,27,48,97,63,63,60,33
1,29,55,98,68,30,60,45
1,31,49,76,73,36,35,264
1,38,,,230,60,,
1,40,60,,31,98,12,
1,40,70,73,23,95,11,18
1,40,70,,35,86,15,
1,45,53,,116,85,42,
1,45,82,,24,17,60,
1,45,,,134,100,,
1,60,,,132,54,,
1,70,,,121,58,,
1,82,,,57,60,,
1,87,90,,161,35,29,
1,87,,,207,60,,
1,90,,,143,60,,
1,91,97,,83,53,37,
1,95,,,115,37,,
2,4,11,,138,33,24,
2,4,26,,120,29,103,
2,4,29,,118,32,55,
2,4,98,,135,40,25,
2,4,,,138,71,,
2,5,49,70,129,85,20,28
2,5,49,,147,108,27,
2,5,70,,115,120,60,
2,5,,,150,237,,
2,11,32,73,107,35,60,35
2,11,32,,128,40,58,
2,11,,,133,43,,
2,14,16,,143,60,60,
2,14,,,136,62,,
2,16,,,170,60,,
2,17,70,71,75,60,60,60
2,17,70,,83,65,60,
2,17,,,120,86,,
2,20,89,,115,80,50,
2,20,,,157,93,,
2,21,45,,93,66,53,
2,21,,,123,90,,
2,23,76,,123,100,170,
2,23,,,141,127,,
2,29,,,132,60,,
2,31,34,,107,33,39,
2,31,,,130,60,,
2,32,39,,113,80,53,
2,32,73,,105,70,66,
2,32,87,,103,80,50,
2,32,,,130,136,,
2,32,,,137,140,,
2,34,,,117,75,,
2,37,64,,103,60,50,
2,37,,,170,60,,
2,38,64,,93,30,53,
2,40,46,79,70,60,35,25
2,40,46,,80,67,60,
2,40,,,106,90,,
2,43,58,,96,100,20,
2,43,,,113,130,,
2,45,74,,90,56,37,
2,45,,,95,76,,
2,46,79,,111,60,55,
2,57,75,,130,100,62,
2,57,,,150,290,,
2,58,,,136,40,,
2,64,,,108,60,,
2,70,71,,107,60,60,
2,71,87,,130,40,25,
2,71,,,155,97,,
2,73,,,127,90,,
2,74,,,119,60,,
2,75,,,130,76,,
2,76,,,160,270,,
2,79,,,140,60,,
2,80,,,150,60,,
2,87,,,140,50,,
2,87,,,150,30,,
2,89,,,123,60,,
3,6,,,60,60,,
3,7,,,60,380,,
3,14,35,,60,62,60,
3,14,,,60,62,,
3,33,,,60,60,,
3,35,,,60,60,,
3,40,64,88,13,95,12,30
3,40,64,,25,123,20,
3,40,,,33,123,,
3,49,51,68,50,32,66,47
3,49,51,,57,39,72,
3,49,57,,58,55,307,
3,49,,,60,91,,
3,50,55,,58,25,60,
3,50,71,,59,40,91,
3,50,,,60,65,,
3,51,69,,60,114,57,
3,53,79,92,51,43,78,36
3,53,79,,60,72,112,
3,53,,,60,120,,
3,55,99,,60,60,60,
3,55,,,60,60,,
3,58,,,60,60,,
3,64,76,81,40,42,182,52
3,64,76,,60,59,285,
3,64,88,,55,64,54,
3,64,,,60,83,,
3,69,,,60,60,,
3,71,85,,60,103,60,
3,72,,,60,62,,
3,77,,,60,94,,
3,79,92,,60,98,60,
3,79,,,60,137,,
3,80,,,60,60,,
3,85,,,60,60,,
3,87,88,90,45,50,54,35
3,87,88,,59,96,60,
3,87,,,60,80,,
3,88,90,,60,58,60,
3,88,,,60,60,,
3,90,99,,60,52,58,
3,90,,,60,60,,
3,99,,,60,60,,
4,8,68,75,71,49,20,71
4,8,68,,121,60,45,
4,8,,,156,60,,
4,9,65,76,84,55,35,301
4,9,65,,103,59,48,
4,9,,,146,60,,
4,10,51,60,69,57,62,36
4,10,51,,117,60,106,
4,10,,,168,60,,
4,13,34,36,60,62,58,23
4,13,35,,89,94,60,
4,13,,,120,120,,
4,23,64,89,58,93,45,26
4,23,64,,78,126,52,
4,23,,,77,223,,
4,24,47,66,30,28,10,15
4,24,47,,45,72,53,
4,24,,,90,102,,
4,25,50,,99,60,19,
4,25,,,132,60,,
4,32,57,,93,161,320,
4,32,,,128,204,,
4,35,36,,103,60,46,
4,36,,,119,49,,
4,51,60,,75,74,37,
4,60,71,,100,47,95,
4,60,,,120,51,,
4,60,,,120,52,,
4,64,89,,79,61,53,
4,65,76,,87,40,323,
4,65,,,120,50,,
4,68,75,,75,57,81,
4,71,92,,106,105,60,
4,71,,,170,120,,
4,75,,,112,104,,
4,76,,,130,65,,
4,80,,,120,200,,
4,82,,,46,60,,
4,88,,,197,60,,
4,89,,,114,60,,
4,92,,,150,60,,
5,6,44,58,240,60,33,70
5,6,44,,240,60,69,
5,6,,,240,60,,
5,8,16,27,122,60,60,110
5,8,16,,240,60,60,
5,8,,,240,60,,
5,12,22,,190,120,64,
5,12,,,240,257,,
5,14,48,64,180,46,70,39
5,14,48,,230,61,115,
5,14,,,240,62,,
5,16,27,,240,60,160,
5,27,,,240,165,,
5,44,58,,240,42,110,
5,44,,,240,68,,
5,48,64,,203,98,58,
5,64,,,235,101,,
6,8,27,,60,60,80,
6,8,,,60,60,,
6,15,,,60,110,,
6,17,67,,57,120,52,
6,17,,,60,145,,
6,20,,,60,240,,
6,21,32,,60,94,160,
6,21,,,60,100,,
6,22,70,,39,121,30,
6,22,,,60,139,,
6,25,,,60,60,,
6,27,,,60,150,,
6,32,,,60,280,,
6,33,41,87,60,60,60,67
6,33,41,,60,60,60,
6,33,,,60,60,,
6,40,43,65,43,66,38,18
6,40,43,,53,84,75,
6,40,,,60,153,,
6,41,87,,60,60,75,
6,43,65,,60,113,41,
6,46,47,88,60,60,97,60
6,46,47,,60,60,60,
6,46,,,60,60,,
6,47,88,,60,102,60,
6,47,,,60,122,,
6,49,,,60,114,,
6,51,72,85,43,68,59,58
6,51,72,,60,119,60,
6,51,,,60,117,,
6,65,,,60,61,,
6,67,,,60,111,,
6,70,,,60,60,,
6,72,85,,60,62,60,
6,72,,,60,62,,
6,74,98,99,14,60,60,54
6,74,98,,27,60,60,
6,74,,,60,60,,
6,76,85,,60,556,60,
6,76,,,60,900,,
6,85,,,60,60,,
6,87,,,60,89,,
6,87,,,60,71,,
6,98,99,,36,60,60,
6,99,,,60,60,,
7,8,26,,127,55,13,
7,8,37,51,148,50,54,87
7,8,37,,282,55,60,
7,12,65,72,110,96,33,37
7,12,65,,129,124,43,
7,12,,,195,213,,
7,26,,,306,148,,
7,37,51,,214,60,119,
7,51,,,273,118,,
8,13,,,60,110,,
8,15,24,,57,65,32,
8,15,,,60,77,,
8,16,17,77,51,60,49,62
8,16,17,,60,60,113,
8,16,,,60,60,,
8,17,77,,54,60,60,
8,24,,,60,65,,
8,28,37,,60,160,60,
8,28,66,,60,83,64,
8,28,,,60,218,,
8,34,,,60,130,,
8,36,41,64,51,26,53,40
8,36,41,,60,60,60,
8,36,,,60,64,,
8,40,88,,53,102,43,
8,40,,,60,123,,
8,41,64,,60,53,78,
8,43,45,,48,81,66,
8,43,,,60,148,,
8,45,,,60,106,,
8,48,,,60,206,,
8,57,,,60,385,,
8,60,,,60,52,,
8,64,,,60,84,,
8,66,,,60,85,,
8,70,,,60,60,,
8,71,75,,54,64,119,
8,71,,,60,111,,
8,75,,,60,147,,
8,77,,,60,93,,
8,79,,,60,159,,
8,80,,,60,60,,
8,88,,,60,60,,
9,10,39,97,60,60,30,60
9,10,39,,60,60,30,
9,10,,,60,60,,
9,14,59,,60,62,105,
9,14,,,60,62,,
9,16,28,92,60,60,216,60
9,16,,,60,60,,
9,19,81,,60,96,60,
9,19,,,60,115,,
9,20,,,60,60,,
9,24,45,,60,41,84,
9,24,,,60,113,,
9,28,92,,60,229,60,
9,32,81,,60,402,60,
9,35,96,,60,60,177,
9,35,,,60,60,,
9,39,73,87,60,30,192,88
9,39,73,,60,30,181,
9,39,,,60,30,,
9,40,,,60,179,,
9,43,53,,60,162,78,
9,43,,,60,227,,
9,48,90,93,60,142,53,47
9,48,90,,60,190,78,
9,48,,,60,324,,
9,50,,,60,74,,
9,59,,,60,120,,
9,60,,,60,60,,
9,69,88,,60,60,60,
9,69,,,60,60,,
9,73,87,,60,248,96,
9,76,90,,60,458,95,
9,90,93,,60,116,61,
9,90,,,60,138,,
9,92,,,60,60,,
9,93,,,60,62,,
10,12,14,33,55,138,60,60
10,12,14,,60,170,60,
10,12,54,92,50,173,14,54
10,12,54,,60,250,25,
10,12,,,60,290,,
10,13,74,,54,78,60,
10,13,,,60,116,,
10,14,33,,60,62,60,
10,33,,,60,60,,
10,40,58,,42,96,37,
10,40,,,60,155,,
10,43,69,,60,169,55,
10,43,,,60,193,,
10,44,70,87,40,20,55,58
10,44,70,,60,60,60,
10,44,77,,46,20,114,
10,44,87,,60,25,88,
10,44,,,60,70,,
10,53,58,73,53,60,4,109
10,53,58,,60,100,33,
10,53,76,,60,81,617,
10,53,,,60,106,,
10,54,92,,60,77,60,
10,54,,,60,115,,
10,58,73,,60,35,123,
10,58,,,60,120,,
10,69,,,60,60,,
10,73,,,60,160,,
10,74,,,60,60,,
10,77,,,60,127,,
10,95,,,60,78,,
10,98,,,60,60,,
11,13,,,98,97,,
11,19,60,,72,68,19,
11,19,,,116,95,,
11,47,,,118,108,,
11,49,,,101,60,,
11,50,,,105,60,,
11,60,,,100,43,,
11,77,,,103,75,,
12,17,32,76,66,114,72,160
12,17,32,,88,105,100,
12,17,,,132,154,,
12,19,31,,100,73,33,
12,19,,,174,91,,
12,22,79,,32,125,22,
12,22,,,140,80,,
12,25,,,280,60,,
12,32,76,,133,155,353,
12,51,,,170,105,,
12,53,96,,141,50,90,
12,53,,,240,70,,
12,62,,,90,60,,
12,69,96,97,90,29,70,38
12,69,96,,151,20,101,
12,69,,,200,52,,
12,70,,,216,60,,
12,75,,,240,60,,
12,76,,,232,470,,
12,76,,,220,460,,
12,79,,,150,114,,
12,82,97,,50,60,21,
12,96,97,,90,80,43,
12,97,,,146,53,,
13,14,45,,69,47,74,
13,14,68,,67,53,80,
13,14,,,112,62,,
13,16,79,84,83,60,87,60
13,16,79,,101,60,110,
13,16,,,121,60,,
13,21,82,,29,20,60,
13,21,,,110,99,,
13,32,,,103,200,,
13,43,,,80,142,,
13,45,,,69,117,,
13,57,92,,90,270,50,
13,57,,,120,390,,
13,79,84,,85,91,60,
13,82,,,35,60,,
13,84,,,118,60,,
13,92,,,99,60,,
14,20,59,,56,90,68,
14,20,,,62,188,,
14,23,98,,60,139,60,
14,23,,,62,201,,
14,27,,,62,150,,
14,57,,,62,465,,
14,58,69,80,50,50,43,90
14,58,69,,60,101,50,
14,58,,,61,125,,
14,59,,,62,120,,
14,60,62,66,51,20,15,29
14,60,62,,49,35,21,
14,60,,,62,56,,
14,62,66,,43,24,38,
14,66,,,61,73,,
14,69,80,,62,54,130,
14,80,,,62,172,,
14,98,,,62,60,,
15,16,39,,73,60,60,
15,16,,,110,60,,
15,22,,,65,98,,
15,33,46,,102,60,35,
15,35,43,99,34,54,88,33
15,35,43,,43,55,91,
15,35,,,95,60,,
15,43,99,,51,106,52,
15,46,,,96,53,,
15,56,66,,53,34,44,
15,66,,,81,61,,
15,72,,,96,62,,
15,74,,,93,60,,
15,89,,,110,60,,
15,99,,,92,56,,
16,24,41,,60,107,60,
16,24,,,60,112,,
16,26,41,66,60,31,52,64
16,32,47,52,60,118,82,30
16,32,47,,60,211,100,
16,32,,,60,340,,
16,40,,,60,156,,
16,41,66,,60,60,104,
16,41,87,96,60,60,86,128
16,41,87,,60,60,96,
16,41,,,60,60,,
16,45,74,,60,90,60,
16,45,,,60,166,,
16,47,52,,60,92,101,
16,52,,,60,123,,
16,64,85,88,60,61,57,51
16,64,85,,60,74,60,
16,64,,,60,106,,
16,66,,,60,114,,
16,85,88,,60,60,60,
16,87,96,,60,88,140,
16,96,,,60,219,,
19,28,79,,71,127,154,
19,28,,,81,213,,
19,29,77,79,72,36,44,45
19,29,77,,66,46,68,
19,29,,,75,96,,
19,59,,,89,119,,
19,77,79,,80,69,53,
19,79,89,,78,87,60,
19,79,,,113,60,,
19,89,,,106,60,,
20,21,31,62,137,64,27,17
20,39,56,61,216,26,51,29
20,47,51,74,235,60,56,33
20,47,74,93,208,60,54,54
21,23,,,91,164,,
21,25,43,57,73,45,100,249
21,25,43,,91,60,119,
21,25,,,100,60,,
21,43,57,,81,102,256,
21,57,,,100,391,,
22,24,,,71,72,,
22,26,,,126,87,,
22,44,47,,129,28,28,
22,44,,,137,36,,
22,67,99,,128,18,28,
22,67,,,118,35,,
22,71,80,,132,27,40,
22,71,,,132,67,,
22,80,,,130,60,,
22,99,,,113,55,,
23,28,31,45,54,65,37,38
23,28,31,,100,82,57,
23,28,45,,82,94,55,
23,28,,,155,166,,
23,45,,,126,60,,
23,48,73,,132,161,64,
23,48,,,140,239,,
23,73,,,143,147,,
23,85,,,145,60,,
24,36,68,,71,60,21,
24,36,,,79,68,,
24,54,,,108,52,,
24,55,,,90,60,,
24,56,,,65,86,,
24,62,,,82,47,,
24,64,,,80,60,,
24,68,,,100,29,,
24,73,92,,60,85,60,
24,73,,,79,100,,
24,92,,,90,60,,
25,31,71,,60,60,119,
25,31,,,60,60,,
25,33,,,60,60,,
25,36,56,85,60,26,33,60
25,36,56,,60,42,79,
25,36,,,60,113,,
25,43,,,60,210,,
25,48,50,88,60,156,45,60
25,48,50,,60,183,54,
25,48,,,60,319,,
25,50,88,,60,60,60,
25,56,85,,60,65,60,
25,57,,,60,46,,
25,71,,,60,120,,
25,85,,,60,60,,
25,88,,,60,60,,
26,33,90,,103,60,72,
26,33,,,75,60,,
26,40,,,105,135,,
26,79,96,,101,75,82,
26,79,,,144,126,,
26,85,87,88,94,51,53,38
26,85,87,,106,60,52,
26,85,,,150,60,,
26,87,88,,123,72,60,
26,88,,,168,60,,
26,89,,,146,60,,
26,90,,,102,81,,
26,92,,,150,60,,
26,96,,,141,135,,
27,40,92,,70,90,20,
27,40,,,110,90,,
27,53,93,,93,60,61,
27,53,,,109,60,,
27,69,87,,85,45,60,
27,69,,,140,60,,
27,80,,,120,60,,
27,87,,,100,65,,
27,90,,,66,70,,
27,92,,,117,60,,
27,93,,,131,62,,
28,34,40,,100,142,120,
28,34,,,138,136,,
28,40,,,110,119,,
28,59,79,,143,78,83,
28,59,,,195,120,,
28,68,,,220,79,,
28,79,,,163,170,,
29,43,44,,70,140,42,
29,43,,,94,157,,
29,44,,,120,68,,
29,55,,,120,60,,
29,66,,,73,79,,
29,71,,,120,120,,
31,33,39,85,47,60,30,60
31,33,,,60,60,,
31,35,58,,54,60,78,
31,37,71,81,60,60,106,60
31,43,62,,36,91,20,
31,75,,,60,60,,
31,85,,,60,60,,
